LOCATION,TIME,Value
PRT,2022,4
SVK,2004,15
SVK,2008,24
SVK,2012,6
SVK,2015,6
SVK,2018,7
SVK,2019,8
SVK,2020,10
SVK,2021,9
SVK,2022,9
ESP,2004,8
ESP,2008,7
ESP,2012,7
ESP,2015,5
ESP,2018,5
ESP,2019,12
ESP,2020,8
ESP,2021,7
ESP,2022,7
SWE,2004,9
SWE,2008,6
SWE,2012,5
SWE,2015,5
SWE,2018,5
SWE,2019,5
SWE,2020,4
SWE,2021,5
SWE,2022,5
CHE,2004,27
CHE,2008,22
CHE,2012,18
CHE,2015,14
CHE,2018,17
CHE,2019,18
CHE,2020,16
CHE,2021,18
CHE,2022,20
GBR,2004,26
GBR,2008,22
GBR,2012,23
GBR,2015,24
GBR,2018,22
GBR,2019,22
GBR,2020,23
GBR,2021,23
GBR,2022,23
USA,2004,31
USA,2008,31
USA,2012,30
USA,2015,27
USA,2018,29
USA,2019,29
USA,2020,27
USA,2021,14
USA,2022,29
BGR,2008,12
BGR,2012,13
BGR,2015,10
BGR,2018,8
BGR,2019,8
BGR,2020,7
BGR,2021,6
BGR,2022,0
CHL,2012,0
CHL,2015,0
HRV,2015,3
HRV,2018,3
HRV,2019,3
HRV,2020,3
HRV,2021,3
HRV,2022,5
CYP,2018,4
CYP,2019,23
CYP,2020,23
CYP,2021,23
CYP,2022,23
EST,2008,2
EST,2012,5
EST,2015,4
EST,2018,4
EST,2019,6
EST,2020,1
EST,2021,0
EST,2022,0
ISR,2008,14
ISR,2012,14
ISR,2015,11
ISR,2018,9
ISR,2019,10
ISR,2020,10
ISR,2021,10
LVA,2008,10
LVA,2012,11
LVA,2015,15
LVA,2018,12
LVA,2019,0
LVA,2020,0
LVA,2021,0
LVA,2022,0
LTU,2008,10
LTU,2012,14
LTU,2015,14
LTU,2018,12
LTU,2019,9
LTU,2020,10
LTU,2021,9
LTU,2022,8
MLT,2008,21
MLT,2012,22
MLT,2015,0
MLT,2018,0
MLT,2019,0
MLT,2020,0
MLT,2021,0
MLT,2022,0
ROU,2008,0
ROU,2012,0
ROU,2015,0
ROU,2018,15
ROU,2019,13
ROU,2020,12
ROU,2021,11
ROU,2022,10
SVN,2008,10
SVN,2012,11
SVN,2015,10
SVN,2018,10
SVN,2019,10
SVN,2020,10
SVN,2021,11
SVN,2022,8
OECD,2004,16
OECD,2008,14
OECD,2012,13
OECD,2015,12
OECD,2018,11
OECD,2019,11
OECD,2020,10
OECD,2021,10
OECD,2022,10
